Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
1,Walmart,"23,00,000",1,"$4,85,873",0.80%,"$13,643.00 ",-7.20%,"$1,98,825","$2,18,619"
2,Berkshire Hathaway,"3,67,700",4,"$2,23,604",6.10%,"$24,074.00 ",0.00%,"$6,20,854","$4,11,035"
3,Apple,"1,16,000",3,"$2,15,639",-7.70%,"$45,687.00 ",-14.40%,"$3,21,686","$7,53,718"
4,Exxon Mobil,"72,700",2,"$2,05,004",-16.70%,"$7,840.00 ",-51.50%,"$3,30,314","$3,40,056"
5,McKesson,"68,000",5,"$1,92,487",6.20%,"$2,258.00 ",53.00%,"$56,563 ","$31,439 "
6,UnitedHealth Group,"2,30,000",6,"$1,84,840",17.70%,"$7,017.00 ",20.70%,"$1,22,810","$1,57,793"
7,CVS Health,"2,04,000",7,"$1,77,526",15.80%,"$5,317.00 ",1.50%,"$94,462 ","$81,310 "
8,General Motors,"2,25,000",8,"$1,66,380",9.20%,"$9,427.00 ",-2.70%,"$2,21,690","$52,968 "
9,AT&T,"2,68,540",10,"$1,63,786",11.60%,"$12,976.00 ",-2.80%,"$4,03,821","$2,55,679"
10,Ford Motor,"2,01,000",9,"$1,51,800",1.50%,"$4,596.00 ",-37.70%,"$2,37,951","$46,349 "
11,AmerisourceBergen,"18,500",12,"$1,46,850",8.00%,"$1,427.90 ",-,"$33,656 ","$19,229 "
12,Amazon.com,"3,41,400",18,"$1,35,987",27.10%,"$2,371.00 ",297.80%,"$83,402 ","$4,23,031"
13,General Electric,"2,95,000",11,"$1,26,661",-9.80%,"$8,831.00 ",-,"$3,65,183","$2,59,520"
14,Verizon,"1,60,900",13,"$1,25,980",-4.30%,"$13,127.00 ",-26.60%,"$2,44,180","$1,98,900"
15,Cardinal Health,"37,300",21,"$1,21,546",18.50%,"$1,427.00 ",17.40%,"$34,122 ","$25,725 "
16,Costco,"1,72,000",15,"$1,18,719",2.20%,"$2,350.00 ",-1.10%,"$33,163 ","$73,606 "
17,Walgreens Boots Alliance,"3,00,000",19,"$1,17,351",13.40%,"$4,173.00 ",-1.10%,"$72,688 ","$89,645 "
18,Kroger,"4,43,000",17,"$1,15,337",5.00%,"$1,975.00 ",-3.10%,"$36,505 ","$26,961 "
19,Chevron,"55,200",14,"$1,07,567",-18.00%,-$497.00,-110.80%,"$2,60,078","$2,03,263"
20,Fannie Mae,"7,000",16,"$1,07,162",-2.90%,"$12,313.00 ",12.40%,"$32,87,968","$3,011 "
21,J.P. Morgan Chase,"2,43,355",23,"$1,05,486",4.40%,"$24,733.00 ",1.20%,"$24,90,972","$3,13,761"
22,Express Scripts Holding,"25,600",22,"$1,00,288",-1.40%,"$3,404.40 ",37.50%,"$51,745 ","$39,567 "
23,Home Depot,"4,06,000",28,"$94,595 ",6.90%,"$7,957.00 ",13.50%,"$42,966 ","$1,76,368"
24,Boeing,"1,50,540",24,"$94,571 ",-1.60%,"$4,895.00 ",-5.40%,"$89,997 ","$1,07,546"
25,Wells Fargo,"2,69,100",27,"$94,176 ",4.60%,"$21,938.00 ",-4.20%,"$19,30,115","$2,78,516"
26,Bank of America Corp.,"2,08,024",26,"$93,662 ",0.70%,"$17,906.00 ",12.70%,"$21,87,702","$2,36,182"
27,Alphabet,"72,053",36,"$90,272 ",20.40%,"$19,478.00 ",19.10%,"$1,67,497","$5,79,426"
28,Microsoft,"1,14,000",25,"$85,320 ",-8.80%,"$16,798.00 ",37.80%,"$1,93,694","$5,08,935"
29,Anthem,"53,000",33,"$84,863 ",7.20%,"$2,469.80 ",-3.50%,"$65,083 ","$43,813 "
30,Citigroup,"2,19,000",29,"$82,386 ",-6.70%,"$14,912.00 ",-13.50%,"$17,92,077","$1,65,394"
31,Comcast,"1,59,000",37,"$80,403 ",7.90%,"$8,695.00 ",6.50%,"$1,80,500","$1,78,258"
32,IBM,"4,14,400",31,"$79,919 ",-3.10%,"$11,872.00 ",-10.00%,"$1,17,470","$1,64,251"
33,State Farm Insurance Cos.,"68,234",35,"$76,132 ",0.60%,$350.30 ,-94.40%,"$2,56,030",-
34,Phillips 66,"14,800",30,"$72,396 ",-16.90%,"$1,555.00 ",-63.20%,"$51,653 ","$40,954 "
35,Johnson & Johnson,"1,26,400",39,"$71,890 ",2.60%,"$16,540.00 ",7.30%,"$1,41,208","$3,37,642"
36,Procter & Gamble,"1,05,000",34,"$71,726 ",-8.90%,"$10,508.00 ",49.30%,"$1,27,136","$2,29,700"
37,Valero Energy,"9,996",32,"$70,166 ",-14.20%,"$2,289.00 ",-42.60%,"$46,173 ","$29,746 "
38,Target,"3,23,000",38,"$69,495 ",-5.80%,"$2,737.00 ",-18.60%,"$37,431 ","$30,502 "
39,Freddie Mac,"5,982",43,"$65,665 ",3.40%,"$7,815.00 ",22.60%,"$20,23,376","$1,612 "
40,Lowe’s,"2,40,000",47,"$65,017 ",10.10%,"$3,093.00 ",21.50%,"$34,408 ","$70,481 "
41,Dell Technologies,"1,38,000",,"$64,806 ",18.10%,"-$1,672.00",-,"$1,18,206",-
42,MetLife,"58,000",40,"$63,476 ",-9.30%,$800.00 ,-84.90%,"$8,98,764","$57,429 "
43,Aetna,"49,500",46,"$63,155 ",4.70%,"$2,271.00 ",-5.00%,"$69,146 ","$44,859 "
44,PepsiCo,"2,64,000",44,"$62,799 ",-0.40%,"$6,329.00 ",16.10%,"$74,129 ","$1,59,763"
45,Archer Daniels Midland,"31,800",41,"$62,346 ",-7.90%,"$1,279.00 ",-30.80%,"$39,769 ","$26,274 "
46,UPS,"3,35,520",48,"$60,906 ",4.40%,"$3,431.00 ",-29.20%,"$40,377 ","$93,276 "
47,Intel,"1,06,000",51,"$59,387 ",7.30%,"$10,316.00 ",-9.70%,"$1,13,327","$1,70,539"
48,Prudential Financial,"49,739",50,"$58,779 ",2.90%,"$4,368.00 ",-22.60%,"$7,83,962","$45,912 "
49,Albertsons Cos.,"2,74,000",,"$58,734 ",115.90%,-$502.20,-,"$23,770 ",-
50,United Technologies,"2,01,600",45,"$57,244 ",-6.20%,"$5,055.00 ",-33.60%,"$89,706 ","$89,957 "
51,Marathon Petroleum,"44,460",42,"$55,858 ",-13.50%,"$1,174.00 ",-58.80%,"$44,413 ","$26,679 "
52,Disney,"1,95,000",53,"$55,632 ",6.00%,"$9,391.00 ",12.00%,"$92,033 ","$1,79,298"
53,Humana,"51,600",52,"$54,379 ",0.20%,$614.00 ,-51.90%,"$25,396 ","$29,743 "
54,Pfizer,"96,500",55,"$52,824 ",8.10%,"$7,215.00 ",3.70%,"$1,71,615","$2,03,725"
55,AIG,"56,400",49,"$52,367 ",-10.20%,-$849.00,-138.70%,"$4,98,264","$61,154 "
56,Lockheed Martin,"97,000",60,"$50,658 ",9.80%,"$5,302.00 ",47.10%,"$47,806 ","$77,557 "
57,Sysco,"51,900",57,"$50,367 ",3.50%,$949.60 ,38.30%,"$16,722 ","$28,048 "
58,FedEx,"3,35,767",58,"$50,365 ",6.10%,"$1,820.00 ",73.30%,"$46,064 ","$52,178 "
59,Hewlett Packard Enterprise,"1,95,000",,"$50,123 ",-,"$3,161.00 ",-,"$79,679 ","$39,288 "
60,Cisco Systems,"73,700",54,"$49,247 ",0.20%,"$10,739.00 ",19.60%,"$1,21,652","$1,69,266"
61,HP,"49,000",20,"$48,238 ",-53.30%,"$2,496.00 ",-45.20%,"$29,010 ","$30,231 "
62,Dow Chemical,"56,000",56,"$48,158 ",-1.30%,"$4,318.00 ",-43.80%,"$79,511 ","$77,460 "
63,HCA Holdings,"2,10,500",63,"$44,747 ",2.70%,"$2,890.00 ",35.70%,"$33,758 ","$32,966 "
64,Coca-Cola,"1,00,300",62,"$41,863 ",-5.50%,"$6,527.00 ",-11.20%,"$87,270 ","$1,82,153"
65,New York Life Insurance,"11,320",61,"$40,787 ",-11.10%,"$1,088.10 ",324.10%,"$2,87,196",-
66,Centene,"30,500",124,"$40,721 ",78.60%,$562.00 ,58.30%,"$20,197 ","$12,271 "
67,American Airlines Group,"1,22,300",67,"$40,180 ",-2.00%,"$2,676.00 ",-64.80%,"$51,274 ","$21,326 "
68,Nationwide,"34,320",69,"$40,074 ",-0.40%,$334.30 ,-42.40%,"$1,97,790",-
69,Merck,"68,000",72,"$39,807 ",0.80%,"$3,920.00 ",-11.80%,"$95,377 ","$1,74,454"
70,Cigna,"41,000",79,"$39,668 ",4.70%,"$1,867.00 ",-10.80%,"$59,360 ","$37,604 "
71,Delta Air Lines,"83,756",68,"$39,639 ",-2.60%,"$4,373.00 ",-3.40%,"$51,261 ","$33,586 "
72,Best Buy,"1,25,000",71,"$39,403 ",-0.90%,"$1,228.00 ",36.90%,"$13,856 ","$15,193 "
73,Honeywell International,"1,31,000",75,"$39,302 ",1.90%,"$4,809.00 ",0.90%,"$54,146 ","$94,991 "
74,Caterpillar,"95,400",59,"$38,537 ",-18.00%,-$67.00,-103.20%,"$74,704 ","$54,402 "
75,Liberty Mutual Insurance Group,"50,000",73,"$38,308 ",-2.90%,"$1,006.00 ",95.70%,"$1,25,592",-
76,Morgan Stanley,"55,311",78,"$37,949 ",0.10%,"$5,979.00 ",-2.40%,"$8,14,949","$79,947 "
77,Massachusetts Mutual Life Insurance,"11,737",76,"$37,788 ",-1.20%,"$1,273.50 ",-10.60%,"$2,71,040",-
78,Goldman Sachs Group,"34,400",74,"$37,712 ",-3.80%,"$7,398.00 ",21.60%,"$8,60,165","$91,380 "
79,Energy Transfer Equity,"30,992",65,"$37,504 ",-11.00%,$995.00 ,-16.30%,"$79,011 ","$21,292 "
80,TIAA,"12,997",82,"$37,105 ",5.50%,"$1,492.30 ",22.90%,"$5,23,194",-
81,Oracle,"1,36,000",77,"$37,047 ",-3.10%,"$8,901.00 ",-10.40%,"$1,12,180","$1,83,556"
82,Tyson Foods,"1,14,000",66,"$36,881 ",-10.90%,"$1,768.00 ",44.90%,"$22,373 ","$22,028 "
83,United Continental Holdings,"88,000",80,"$36,556 ",-3.50%,"$2,263.00 ",-69.20%,"$40,140 ","$22,225 "
84,Allstate,"43,275",81,"$36,534 ",2.50%,"$1,877.00 ",-13.50%,"$1,08,610","$29,754 "
85,Publix Super Markets,"1,91,000",87,"$34,274 ",5.10%,"$2,025.70 ",3.10%,"$17,464 ",-
86,American Express,"56,400",85,"$33,823 ",-1.80%,"$5,408.00 ",4.70%,"$1,58,893","$71,193 "
87,TJX,"2,35,000",89,"$33,184 ",7.20%,"$2,298.20 ",0.90%,"$12,884 ","$51,053 "
88,Nike,"70,700",91,"$32,376 ",5.80%,"$3,760.00 ",14.90%,"$21,396 ","$92,204 "
89,Exelon,"34,396",95,"$31,360 ",6.50%,"$1,134.00 ",-50.00%,"$1,14,904","$33,309 "
90,General Dynamics,"98,800",88,"$31,353 ",-0.40%,"$2,955.00 ",-0.30%,"$32,872 ","$56,791 "
91,Rite Aid,"70,580",107,"$30,737 ",15.90%,$165.50 ,-92.20%,"$11,277 ","$4,473 "
92,Gilead Sciences,"9,000",86,"$30,390 ",-6.90%,"$13,501.00 ",-25.40%,"$56,977 ","$88,788 "
93,CHS,"12,157",84,"$30,347 ",-12.20%,$424.20 ,-45.70%,"$17,318 ",-
94,3M,"91,584",93,"$30,109 ",-0.50%,"$5,050.00 ",4.50%,"$32,906 ","$1,14,338"
95,Time Warner,"25,000",99,"$29,318 ",4.30%,"$3,926.00 ",2.40%,"$65,966 ","$75,660 "
96,Charter Communications,"91,500",292,"$29,003 ",197.30%,"$3,522.00 ",-,"$1,49,067","$1,00,595"
97,Northwestern Mutual,"5,646",100,"$28,799 ",2.40%,$818.00 ,0.40%,"$2,50,441",-
98,Facebook,"17,048",157,"$27,638 ",54.20%,"$10,217.00 ",177.00%,"$64,961 ","$4,10,522"
99,Travelers Cos.,"30,900",105,"$27,625 ",3.10%,"$3,014.00 ",-12.40%,"$1,00,245","$33,689 "
100,Capital One Financial,"47,300",112,"$27,519 ",9.60%,"$3,751.00 ",-7.40%,"$3,57,033","$41,831 "
101,Twenty-First Century Fox,"21,500",96,"$27,326 ",-5.70%,"$2,755.00 ",-66.80%,"$48,365 ","$59,949 "
102,USAA,"29,943",114,"$27,131 ",11.40%,"$1,779.10 ",-21.70%,"$1,47,290",-
103,World Fuel Services,"5,000",92,"$27,016 ",-11.10%,$126.50 ,-27.50%,"$5,413 ","$2,535 "
104,Philip Morris International,"79,500",106,"$26,685 ",-0.40%,"$6,967.00 ",1.40%,"$36,851 ","$1,75,349"
105,Deere,"56,767",97,"$26,644 ",-7.70%,"$1,523.90 ",-21.40%,"$57,981 ","$34,648 "
106,Kraft Heinz,"41,000",153,"$26,487 ",44.40%,"$3,632.00 ",472.90%,"$1,20,480","$1,10,528"
107,Tech Data,"9,500",108,"$26,235 ",-0.50%,$195.10 ,-26.60%,"$7,932 ","$3,569 "
108,Avnet,"17,700",102,"$26,219 ",-6.10%,$506.50 ,-11.40%,"$11,240 ","$5,898 "
109,Avnet,"90,000",102,"$25,923 ",-12.50%,"$1,659.00 ",-77.20%,"$61,538 ","$65,676 "
110,Macy’s,"1,48,300",103,"$25,778 ",-4.80%,$619.00 ,-42.30%,"$19,851 ","$9,046 "
111,AbbVie,"30,000",123,"$25,638 ",12.20%,"$5,953.00 ",15.70%,"$66,099 ","$1,03,838"
112,McDonald’s,"3,75,000",109,"$24,622 ",-3.10%,"$4,686.50 ",3.50%,"$31,024 ","$1,06,150"
113,DuPont,"46,000",101,"$24,594 ",-12.00%,"$2,513.00 ",28.70%,"$39,964 ","$69,451 "
114,Northrop Grumman,"67,000",118,"$24,508 ",4.20%,"$2,200.00 ",10.60%,"$25,614 ","$41,577 "
115,ConocoPhillips,"13,300",90,"$24,360 ",-21.30%,"-$3,615.00",-,"$89,772 ","$61,692 "
116,Raytheon,"63,000",120,"$24,069 ",3.50%,"$2,211.00 ",6.60%,"$30,052 ","$44,664 "
117,Tesoro,"6,308",98,"$24,005 ",-14.70%,$734.00 ,-52.30%,"$20,398 ","$9,515 "
118,Arrow Electronics,"18,700",119,"$23,825 ",2.30%,$522.80 ,5.00%,"$14,206 ","$6,546 "
119,Qualcomm,"30,500",110,"$23,554 ",-6.80%,"$5,705.00 ",8.20%,"$52,359 ","$84,694 "
120,Progressive,"31,721",137,"$23,441 ",12.40%,"$1,031.00 ",-18.70%,"$33,428 ","$22,760 "
121,Duke Energy,"28,798",115,"$23,369 ",-1.00%,"$2,152.00 ",-23.60%,"$1,32,761","$57,397 "
122,Enterprise Products Partners,"6,800",104,"$23,022 ",-14.80%,"$2,513.10 ",-0.30%,"$52,194 ","$58,522 "
123,Amgen,"19,200",130,"$22,991 ",6.10%,"$7,722.00 ",11.30%,"$77,626 ","$1,20,830"
124,US Foods Holding,"25,000",122,"$22,919 ",-0.90%,$209.80 ,25.20%,"$8,945 ","$6,207 "
125,U.S. Bancorp,"71,191",131,"$22,744 ",5.80%,"$5,888.00 ",0.20%,"$4,45,964","$87,201 "
126,Aflac,"10,212",135,"$22,559 ",8.10%,"$2,659.00 ",5.00%,"$1,29,819","$29,053 "
127,Sears Holdings,"1,40,000",111,"$22,138 ",-12.00%,"-$2,221.00",-,"$9,362 ","$1,231 "
128,Dollar General,"1,21,000",139,"$21,987 ",7.90%,"$1,251.10 ",7.40%,"$11,672 ","$19,182 "
129,AutoNation,"26,000",136,"$21,609 ",3.60%,$430.50 ,-2.70%,"$10,060 ","$4,268 "
130,Community Health Systems,"1,08,000",125,"$21,374 ",-5.80%,"-$1,721.00",-,"$21,944 ","$1,010 "
131,Starbucks,"2,54,000",146,"$21,316 ",11.20%,"$2,817.70 ",2.20%,"$14,330 ","$85,092 "
132,Eli Lilly,"41,975",141,"$21,222 ",6.30%,"$2,737.60 ",13.70%,"$38,806 ","$92,803 "
133,International Paper,"55,000",127,"$21,079 ",-5.80%,$904.00 ,-3.60%,"$33,345 ","$20,884 "
134,Tenet Healthcare,"1,16,475",140,"$21,070 ",4.80%,-$192.00,-,"$24,701 ","$1,777 "
135,Abbott Laboratories,"75,000",138,"$20,853 ",0.90%,"$1,400.00 ",-68.30%,"$52,666 ","$76,740 "
136,Dollar Tree,"1,16,050",180,"$20,719 ",33.70%,$896.20 ,217.40%,"$15,702 ","$18,540 "
137,Whirlpool,"93,000",134,"$20,718 ",-0.80%,$888.00 ,13.40%,"$19,153 ","$12,762 "
138,Southwest Airlines,"53,536",142,"$20,425 ",3.10%,"$2,244.00 ",2.90%,"$23,286 ","$33,076 "
139,Emerson Electric,"1,03,500",128,"$20,268 ",-9.10%,"$1,635.00 ",-39.70%,"$21,743 ","$38,614 "
140,Staples,"61,503",132,"$20,217 ",-4.00%,"-$1,497.00",-494.80%,"$8,271 ","$5,723 "
141,Plains GP Holdings,"5,100",121,"$20,182 ",-12.80%,$94.00 ,-20.30%,"$26,103 ","$9,127 "
142,Penske Automotive Group,"24,000",143,"$20,143 ",4.00%,$342.90 ,5.20%,"$8,861 ","$4,001 "
143,Union Pacific,"42,919",129,"$19,941 ",-8.60%,"$4,233.00 ",-11.30%,"$55,718 ","$85,911 "
144,Danaher,"62,000",133,"$19,912 ",-4.80%,"$2,553.70 ",-23.90%,"$45,295 ","$59,359 "
145,Southern,"32,015",162,"$19,896 ",13.80%,"$2,448.00 ",3.40%,"$1,09,697","$49,335 "
146,ManpowerGroup,"28,000",144,"$19,654 ",1.70%,$443.70 ,5.80%,"$7,574 ","$6,938 "
147,Bristol-Myers Squibb,"25,000",168,"$19,427 ",17.30%,"$4,457.00 ",184.80%,"$33,707 ","$89,591 "
148,Altria Group,"8,300",149,"$19,337 ",2.60%,"$14,239.00 ",171.70%,"$45,932 ","$1,38,513"
149,Fluor,"61,551",155,"$19,037 ",5.10%,$281.40 ,-31.80%,"$9,216 ","$7,353 "
150,Kohl’s,"85,000",145,"$18,686 ",-2.70%,$556.00 ,-17.40%,"$13,574 ","$6,862 "
151,Lear,"1,48,400",154,"$18,558 ",1.90%,$975.10 ,30.80%,"$9,901 ","$9,726 "
152,Jabil Circuit,"1,38,000",158,"$18,353 ",2.50%,$254.10 ,-10.50%,"$10,323 ","$5,270 "
153,Hartford Financial Services Group,"16,900",152,"$18,300 ",-0.40%,$896.00 ,-46.70%,"$2,23,432","$17,795 "
154,Thermo Fisher Scientific,"54,800",164,"$18,274 ",7.70%,"$2,021.80 ",2.30%,"$45,908 ","$59,964 "
155,Kimberly-Clark,"42,000",151,"$18,202 ",-2.10%,"$2,166.00 ",113.80%,"$14,602 ","$46,828 "
156,Molina Healthcare,"21,000",201,"$17,782 ",25.40%,$52.00 ,-63.60%,"$7,449 ","$2,601 "
157,PG&E Corp.,"24,000",166,"$17,666 ",4.90%,"$1,393.00 ",59.40%,"$68,598 ","$33,696 "
158,Supervalu,"38,000",160,"$17,529 ",-1.60%,$178.00 ,-7.30%,"$4,370 ","$1,033 "
159,Cummins,"55,400",148,"$17,509 ",-8.40%,"$1,394.00 ",-0.40%,"$15,011 ","$25,397 "
160,CenturyLink,"40,000",159,"$17,470 ",-2.40%,$626.00 ,-28.70%,"$47,017 ","$12,883 "
161,AECOM,"87,000",156,"$17,411 ",-3.20%,$96.10 ,-,"$13,727 ","$5,528 "
162,Xerox,"1,33,600",150,"$17,126 ",-8.20%,-$477.00,-200.60%,"$18,145 ","$7,462 "
163,Marriott International,"2,26,500",195,"$17,072 ",17.90%,$780.00 ,-9.20%,"$24,140 ","$36,124 "
